,Ranking,Players,Atp_points,Ages,Turned Pro,Weight,height,W-L Year,W-L Career,Title Year,Title Career,Career High Date,Career High Rank,Year Price Money,Career Price Money,Aces,Double Faults,First Serves,First Serve Points Won,Second Serve Points Won,Break Points Faced,Break Points Saved,Service Games Played,Service Games Won,Total Service Points Won,1st Serve Return Points Won,2nd Serve Return Points Won,Break Points Opportunities,Break Points Converted,Return Games Played,Return Games Won,Return Points Won,Total Points Won
0,1,Carlos Alcaraz,"7,675",20,2018,163lbs(74kg),"6'0""(183cm)",40-4,130-35,5,11,Career High 2022.09.12,1,"$4,831,089","$16,660,732",567,368,65%,71%,55%,987,63%,"2,005",82%,65%,35%,53%,"1,521",42%,"2,010",32%,42%,53%
1,2,Novak Djokovic,"7,595",36,2003,170lbs(77kg),"6'2""(188cm)",27-4,1058-210,3,94,Career High 2011.07.04,1,"$5,070,668","$169,762,762","6,827","2,816",65%,74%,55%,"6,245",65%,"15,337",86%,67%,34%,55%,"10,796",44%,"14,905",32%,42%,55%
2,3,Daniil Medvedev,"5,890",27,2014,182lbs(83kg),"6'6""(198cm)",41-8,308-126,5,20,Career High 2022.02.28,1,"$4,895,309","$31,495,691","3,437","1,457",61%,75%,52%,"2,278",63%,"5,121",84%,66%,31%,54%,"3,261",43%,"5,129",27%,40%,53%
3,4,Casper Ruud,"4,960",24,2015,170lbs(77kg),"6'0""(183cm)",22-12,192-104,1,10,Career High 2022.09.12,2,"$2,340,478","$15,411,069","1,358",621,65%,72%,54%,"1,514",63%,"3,406",83%,66%,29%,51%,"1,968",40%,"3,330",24%,37%,52%
4,5,Stefanos Tsitsipas,"4,670",24,2016,198lbs(90kg),"6'4""(193cm)",32-12,281-131,0,9,Career High 2021.08.09,3,"$3,268,642","$26,467,649","2,889",904,62%,76%,55%,"2,049",65%,"5,229",86%,68%,29%,49%,"2,709",40%,"5,113",21%,36%,52%
5,6,Holger Rune,"4,510",20,2020,169lbs(77kg),"6'2""(188cm)",33-12,83-50,1,4,Career High 2023.05.22,6,"$2,442,758","$5,471,747",553,456,63%,72%,53%,745,62%,"1,537",82%,65%,30%,51%,892,41%,"1,551",23%,38%,51%
6,7,Andrey Rublev,"4,255",25,2014,165lbs(75kg),"6'2""(188cm)",31-13,267-145,1,13,Career High 2021.09.13,5,"$2,553,337","$17,805,025","2,675","1,040",60%,75%,50%,"2,330",62%,"4,854",82%,65%,30%,53%,"2,985",40%,"4,868",25%,39%,52%
7,8,Jannik Sinner,"3,345",21,2018,167lbs(76kg),"6'2""(188cm)",32-10,158-69,1,7,Career High 2023.04.10,8,"$2,249,155","$8,871,818","1,081",488,59%,73%,53%,"1,376",64%,"2,716",82%,65%,32%,53%,"1,715",43%,"2,697",27%,40%,52%
8,9,Taylor Fritz,"3,310",25,2015,190lbs(86kg),"6'5""(196cm)",33-15,210-159,1,5,Career High 2023.02.27,5,"$2,191,798","$12,340,577","3,375",895,59%,76%,51%,"2,127",62%,"4,670",83%,66%,27%,50%,"2,483",37%,"4,612",20%,36%,51%
9,10,Frances Tiafoe,"3,085",25,2015,190lbs(86kg),"6'2""(188cm)",28-10,165-154,2,3,Career High 2023.06.19,10,"$1,701,926","$9,013,283","2,261",778,61%,72%,52%,"2,074",62%,"4,131",81%,64%,27%,50%,"2,110",38%,"4,149",19%,36%,50%
