,% Points Won 1st serve,ID,Matches,Name,Points Won 1st serve,Rank,Total Points
0,82.71%,k336,694,Ivo Karlovic,"31,789",1,"38,434"
1,82.46%,i034,731,Goran Ivanisevic,"26,959",2,"32,693"
2,81.44%,r975,526,Milos Raonic,"21,255",3,"26,100"
3,81.39%,k214,606,Richard Krajicek,"23,417",4,"28,772"
4,81.24%,a202,274,Wayne Arthurs,"10,706",5,"13,179"
5,80.91%,s402,792,Pete Sampras,"32,756",6,"40,484"
6,79.94%,p338,482,Mark Philippoussis,"19,192",7,"24,008"
7,79.80%,r237,677,Greg Rusedski,"25,834",8,"32,372"
8,79.38%,b028,418,Boris Becker,"16,535",9,"20,829"
9,79.27%,r485,776,Andy Roddick,"30,076",10,"37,942"
10,78.90%,q927,694,Sam Querrey,"26,158",11,"33,152"
11,78.80%,i186,761,John Isner,"36,548",12,"46,382"
12,78.59%,g252,336,Marc-Kevin Goellner,"11,259",13,"14,327"
13,78.52%,r214,645,Marc Rosset,"22,365",14,"28,482"
14,78.16%,bk40,227,Matteo Berrettini,"9,132",15,"11,684"
15,78.04%,ma30,403,Gilles Muller,"15,982",16,"20,480"
16,77.96%,s351,417,Michael Stich,"15,761",17,"20,217"
17,77.89%,f035,278,Guy Forget,"10,642",18,"13,662"
18,77.57%,t786,672,Jo-Wilfried Tsonga,"26,124",19,"33,678"
19,77.47%,l360,680,Ivan Ljubicic,"25,056",20,"32,344"
20,77.44%,ke17,299,Nick Kyrgios,"12,773",21,"16,493"
21,77.32%,f324,"1,462",Roger Federer,"54,879",22,"70,981"
22,77.08%,f339,501,Mardy Fish,"16,244",23,"21,073"
23,77.03%,a678,596,Kevin Anderson,"24,285",24,"31,527"
24,76.94%,ba47,933,Tomas Berdych,"31,748",25,"41,261"
25,76.91%,c977,856,Marin Cilic,"30,208",26,"39,279"
26,76.62%,bk92,216,Alexander Bublik,"7,725",27,"10,082"
27,76.29%,g352,389,Jan-Michael Gambill,"13,133",28,"17,214"
28,76.23%,te51,401,Stefanos Tsitsipas,"15,323",29,"20,100"
29,76.21%,k293,511,Gustavo Kuerten,"17,304",30,"22,706"
30,76.18%,s403,280,Jonathan Stark,"10,012",31,"13,143"
31,76.16%,l397,976,Feliciano Lopez,"35,952",32,"47,205"
32,76.13%,j129,618,Thomas Johansson,"20,032",33,"26,312"
33,76.08%,pd07,280,Vasek Pospisil,"10,209",34,"13,419"
34,76.06%,sl28,379,Jan-Lennard Struff,"13,050",35,"17,157"
35,75.96%,l018,246,Ivan Lendl,"8,184",36,"10,774"
36,75.95%,su55,306,Denis Shapovalov,"11,316",37,"14,900"
37,75.88%,hb71,246,Hubert Hurkacz,"9,913",38,"13,064"
38,75.81%,ag37,276,Felix Auger-Aliassime,"10,380",39,"13,693"
39,75.78%,m595,435,Max Mirnyi,"16,519",40,"21,799"
40,75.78%,fb98,358,Taylor Fritz,"13,232",41,"17,460"
41,75.73%,sa49,463,Robin Soderling,"16,347",42,"21,587"
42,75.66%,r255,513,Patrick Rafter,"19,636",43,"25,952"
43,75.62%,e113,705,Thomas Enqvist,"23,338",44,"30,862"
44,75.61%,m442,593,Todd Martin,"24,167",45,"31,963"
45,75.54%,a385,318,Mario Ancic,"11,627",46,"15,391"
46,75.35%,mm58,422,Daniil Medvedev,"14,724",47,"19,542"
47,75.25%,s741,649,Marat Safin,"22,718",48,"30,191"
48,75.24%,g858,454,Ernests Gulbis,"16,299",49,"21,664"
49,75.20%,d362,283,Taylor Dent,"9,453",50,"12,571"
50,75.16%,d214,358,Martin Damm,"12,354",51,"16,437"
51,75.06%,j386,392,Steve Johnson,"14,301",52,"19,053"
52,74.99%,c328,503,Kenneth Carlsen,"17,696",53,"23,598"
53,74.90%,s380,202,Bryan Shelton,"7,676",54,"10,248"
54,74.88%,s381,506,Jan Siemerink,"17,830",55,"23,813"
55,74.83%,a479,662,Nicolas Almagro,"22,490",56,"30,055"
56,74.82%,k316,612,Nicolas Kiefer,"18,532",57,"24,770"
57,74.82%,b837,597,Marcos Baghdatis,"18,933",58,"25,306"
58,74.77%,re44,394,Andrey Rublev,"13,743",59,"18,381"
59,74.71%,o009,230,Andrei Olhovskiy,"8,050",60,"10,775"
60,74.68%,p273,374,David Prinosil,"11,627",61,"15,569"
61,74.56%,d875,646,Grigor Dimitrov,"23,916",62,"32,075"
62,74.55%,d801,412,Alexandr Dolgopolov,"12,851",63,"17,238"
63,74.51%,b896,368,Benjamin Becker,"11,785",64,"15,816"
64,74.45%,h336,720,Tim Henman,"25,485",65,"34,232"
65,74.44%,c478,381,Agustin Calleri,"12,162",66,"16,337"
66,74.43%,pd31,531,Benoit Paire,"17,198",67,"23,107"
67,74.42%,f196,774,Wayne Ferreira,"26,706",68,"35,885"
68,74.42%,d683,593,Juan Martin del Potro,"21,386",69,"28,735"
69,74.34%,z355,506,Alexander Zverev,"19,649",70,"26,430"
70,74.28%,mc10,932,Andy Murray,"32,056",71,"43,158"
71,74.25%,c243,546,Jim Courier,"20,983",72,"28,259"
