,Aces,Games played,ID,Name,Rank
0,"14,260",761,i186,John Isner,1
1,"13,728",694,k336,Ivo Karlovic,2
2,"11,478","1,462",f324,Roger Federer,3
3,"10,261",976,l397,Feliciano Lopez,4
4,"10,237",731,i034,Goran Ivanisevic,5
5,"9,074",776,r485,Andy Roddick,6
6,"8,879",694,q927,Sam Querrey,7
7,"8,858",792,s402,Pete Sampras,8
8,"8,160",526,r975,Milos Raonic,9
9,"8,138",680,l360,Ivan Ljubicic,10
10,"7,982",856,c977,Marin Cilic,11
11,"7,694",606,k214,Richard Krajicek,12
12,"7,683",596,a678,Kevin Anderson,13
13,"7,605",677,r237,Greg Rusedski,14
14,"7,184",933,ba47,Tomas Berdych,15
15,"6,827","1,220",d643,Novak Djokovic,16
16,"6,709",482,p338,Mark Philippoussis,17
17,"6,699",816,mc65,Gael Monfils,18
18,"6,643",672,t786,Jo-Wilfried Tsonga,19
19,"6,339",932,mc10,Andy Murray,20
20,"6,263",848,w367,Stan Wawrinka,21
21,"6,212",645,r214,Marc Rosset,22
22,"5,992",867,h355,Tommy Haas,23
23,"5,754",649,s741,Marat Safin,24
24,"5,694",593,m442,Todd Martin,25
25,"5,610",774,f196,Wayne Ferreira,26
26,"5,493",662,a479,Nicolas Almagro,27
27,"5,490",705,e113,Thomas Enqvist,28
28,"5,427",403,ma30,Gilles Muller,29
29,"5,422",992,v306,Fernando Verdasco,30
30,"5,123",618,j129,Thomas Johansson,31
31,"5,118",819,h432,Lleyton Hewitt,32
32,"5,115",954,g628,Richard Gasquet,33
33,"4,947",501,f339,Mardy Fish,34
34,"4,800",594,ca12,Jeremy Chardy,35
35,"4,740",837,k267,Yevgeny Kafelnikov,36
36,"4,620",828,k435,Philipp Kohlschreiber,37
37,"4,542",531,pd31,Benoit Paire,38
38,"4,529",299,ke17,Nick Kyrgios,39
39,"4,436",856,m605,Carlos Moya,40
40,"4,434",646,d875,Grigor Dimitrov,41
41,"4,424",418,b028,Boris Becker,42
42,"4,418",593,d683,Juan Martin del Potro,43
43,"4,375",274,a202,Wayne Arthurs,44
44,"4,353",597,b837,Marcos Baghdatis,45
45,"4,337",720,h336,Tim Henman,46
46,"4,337",511,k293,Gustavo Kuerten,47
47,"4,264",506,z355,Alexander Zverev,48
48,"4,247",454,g858,Ernests Gulbis,49
49,"4,229",539,t840,Viktor Troicki,50
50,"4,205",389,g352,Jan-Michael Gambill,51
51,"4,170",612,k316,Nicolas Kiefer,52
52,"4,111",658,s694,Radek Stepanek,53
53,"4,082",851,a092,Andre Agassi,54
54,"4,073",435,m595,Max Mirnyi,55
55,"3,993",503,c328,Kenneth Carlsen,56
56,"3,974","1,254",n409,Rafael Nadal,57
57,"3,893",463,sa49,Robin Soderling,58
58,"3,800",769,sa93,Andreas Seppi,59
59,"3,791",439,f164,Richard Fromberg,60
60,"3,764",538,g415,Fernando Gonzalez,61
61,"3,756",878,sd32,Gilles Simon,62
62,"3,745",636,p226,Cedric Pioline,63
63,"3,732",546,m680,Xavier Malisse,64
64,"3,648",513,r255,Patrick Rafter,65
