,Name,Serve Rating,% 1st Serve,% 1st Serve Points Won,% 2nd Serve Points Won,% Service Games Won,Avg. Aces/Match,Avg. Double Faults/Match
0,John Isner,311.9,69.0%,78.8%,55.9%,91.8%,18.7,2.3
1,Ivo Karlovic,309.8,65.5%,82.7%,53.3%,92.0%,19.8,3.5
2,Reilly Opelka,303.4,64.0%,79.0%,55.2%,90.0%,18.1,2.9
3,Milos Raonic,302.8,62.9%,81.4%,55.1%,91.2%,15.5,3.3
4,Andy Roddick,299.9,64.8%,79.3%,56.0%,90.1%,11.7,2.0
5,Nick Kyrgios,296.9,65.9%,77.4%,53.3%,88.7%,15.1,3.5
6,Joachim Johansson,293.4,62.1%,79.2%,52.8%,89.3%,14.3,4.3
7,Kevin Anderson,291.0,64.5%,77.0%,52.9%,86.7%,12.9,3.0
8,Roger Federer,290.9,62.1%,77.3%,56.8%,88.8%,7.8,1.9
9,Wayne Arthurs,290.4,55.7%,81.2%,54.7%,88.2%,15.8,5.2
10,Matteo Berrettini,289.7,62.8%,78.2%,53.0%,87.7%,10.0,2.0
11,Pete Sampras,289.0,59.5%,80.9%,52.6%,88.7%,11.0,3.7
12,Chris Guccione,287.7,60.0%,78.5%,51.5%,86.4%,14.6,3.3
13,Richard Krajicek,286.9,58.2%,81.4%,51.1%,87.2%,12.6,3.6
14,Jo-Wilfried Tsonga,286.8,62.0%,77.6%,52.8%,86.9%,9.9,2.4
15,Maxime Cressy,285.4,60.4%,78.9%,52.4%,87.9%,15.2,9.4
16,Wesley Moodie,285.2,68.9%,73.5%,51.3%,83.8%,10.8,3.1
17,Hubert Hurkacz,284.8,63.1%,75.9%,52.1%,85.3%,10.8,2.4
18,Stefanos Tsitsipas,284.6,62.4%,76.2%,54.8%,86.3%,7.2,2.3
19,Sam Groth,284.4,60.5%,78.3%,50.7%,84.5%,15.4,5.0
20,Rafael Nadal,284.4,68.0%,72.1%,57.2%,85.6%,3.2,1.7
21,Gilles Muller,284.2,61.4%,78.0%,50.1%,84.9%,13.4,3.6
22,Novak Djokovic,283.5,64.9%,74.0%,55.4%,85.9%,5.6,2.3
23,Greg Rusedski,283.2,58.0%,79.8%,52.3%,86.5%,11.2,4.6
24,Christopher Eubanks,282.9,68.2%,74.1%,49.6%,83.7%,10.9,3.6
25,Ivan Ljubicic,282.5,58.4%,77.5%,51.8%,85.3%,12.0,2.5
26,Sam Querrey,282.4,59.1%,78.9%,50.2%,84.8%,12.8,3.4
27,Goran Ivanisevic,282.2,54.9%,82.5%,50.1%,85.7%,13.9,4.9
28,Mark Philippoussis,281.7,57.9%,79.9%,49.9%,85.3%,13.9,5.2
29,Juan Martin del Potro,281.4,63.8%,74.4%,53.2%,84.8%,7.5,2.3
30,Brandon Nakashima,281.0,63.1%,75.0%,53.4%,84.1%,7.3,1.9
31,Ben Shelton,280.7,61.7%,76.8%,51.7%,84.5%,10.7,4.7
32,Nicolas Jarry,279.8,63.5%,73.7%,52.7%,83.4%,9.3,2.8
33,Max Mirnyi,279.2,62.6%,75.8%,51.2%,83.9%,9.4,3.7
34,Mario Ancic,279.1,61.3%,75.5%,51.9%,83.8%,9.3,2.7
35,Boris Becker,278.4,57.4%,79.4%,50.2%,85.8%,10.4,4.8
36,Guy Forget,278.3,58.1%,77.8%,51.7%,84.0%,9.0,2.3
37,Todd Martin,278.1,61.6%,75.6%,51.1%,83.6%,9.5,3.3
38,Felix Auger-Aliassime,277.8,63.5%,75.8%,49.9%,83.3%,9.5,4.2
39,Arthur Rinderknech,277.8,64.2%,74.9%,48.5%,83.1%,9.4,2.3
40,Robin Soderling,277.8,61.1%,75.7%,51.7%,83.9%,8.4,3.0
41,Casper Ruud,277.5,64.8%,72.3%,54.4%,83.4%,4.9,2.3
42,Daniel Brands,277.4,65.9%,72.7%,51.2%,81.8%,8.8,3.0
43,Patrick Rafter,277.4,61.9%,75.6%,51.7%,84.7%,7.1,3.6
44,Marc-Andrea Huesler,277.1,60.3%,74.7%,53.0%,82.6%,9.1,2.6
45,Tomas Berdych,276.9,58.0%,76.9%,52.4%,84.4%,7.7,2.5
46,Daniil Medvedev,276.8,61.1%,75.4%,51.9%,83.8%,8.1,3.5
47,Feliciano Lopez,276.5,58.4%,76.1%,51.4%,83.6%,10.5,3.5
48,Thanasi Kokkinakis,276.5,61.3%,75.5%,49.3%,82.9%,10.9,3.4
49,Michael Stich,276.5,56.6%,77.8%,52.5%,85.3%,8.3,4.0
50,Jim Courier,276.4,62.2%,74.2%,53.3%,84.1%,5.2,2.6
51,Taylor Fritz,276.1,59.3%,75.7%,51.5%,82.7%,9.4,2.5
52,Lloyd Harris,276.1,64.8%,74.3%,47.8%,80.9%,10.5,2.2
53,Marin Cilic,275.9,56.8%,76.8%,52.2%,83.8%,9.3,3.0
54,Andre Agassi,275.8,62.6%,72.9%,54.0%,84.0%,4.8,2.5
55,Juan Balcells,275.8,71.4%,68.1%,52.8%,80.3%,5.3,2.1
56,Alexander Zverev,275.6,65.3%,74.4%,49.4%,82.3%,8.4,4.2
57,Martin Verkerk,275.5,59.5%,75.8%,50.2%,82.5%,12.4,4.9
58,Steve Johnson,275.4,58.9%,75.1%,52.3%,83.7%,8.5,3.1
59,Lorenzo Sonego,275.3,65.6%,72.7%,50.9%,82.1%,6.0,2.0
60,Karen Khachanov,275.2,62.3%,73.5%,51.9%,82.2%,8.0,2.7
61,Quentin Halys,274.8,59.6%,77.2%,47.4%,83.3%,12.7,5.4
62,Nicolas Almagro,274.0,58.1%,74.8%,52.8%,82.5%,8.3,2.5
63,Marius Copil,273.8,57.4%,75.2%,51.6%,81.6%,11.1,3.1
64,Bernard Tomic,273.8,66.3%,71.0%,49.8%,80.6%,7.9,1.8
65,Carlos Alcaraz,273.7,65.0%,70.8%,54.7%,82.0%,3.5,2.3
66,Grigor Dimitrov,273.7,62.2%,74.6%,51.1%,82.4%,6.9,3.5
67,Tallon Griekspoor,273.7,63.8%,73.0%,50.8%,81.8%,7.4,3.1
68,Zhizhen Zhang,273.7,63.9%,71.4%,52.3%,80.8%,7.2,1.9
69,Peter Wessels,273.6,62.5%,74.2%,50.1%,81.1%,9.0,3.3
70,Magnus Larsson,273.3,63.5%,72.9%,51.1%,81.7%,6.6,2.5
71,Vasek Pospisil,273.0,58.1%,76.1%,50.1%,82.7%,9.6,3.6
72,Takao Suzuki,273.0,63.6%,71.4%,52.3%,79.7%,8.6,2.6
73,Jiri Vesely,273.0,64.3%,72.7%,50.6%,81.2%,8.0,3.8
74,Stan Wawrinka,273.0,57.9%,73.8%,53.7%,82.8%,7.4,2.6
75,Denis Shapovalov,272.9,59.1%,76.0%,51.5%,83.5%,8.3,5.5
76,Alexei Popyrin,272.7,60.5%,74.6%,50.1%,81.8%,9.5,3.8
77,Shuzo Matsuoka,272.6,61.2%,74.1%,50.7%,81.7%,7.7,2.8
78,Wally Masur,272.6,66.2%,70.3%,52.7%,80.7%,4.9,2.2
79,Michael Llodra,272.5,62.2%,73.5%,51.1%,81.2%,7.8,3.3
80,Jerzy Janowicz,272.4,62.0%,74.7%,49.3%,82.0%,9.6,5.2
81,Dominic Thiem,272.4,60.5%,73.5%,53.1%,82.4%,5.7,2.8
82,Fernando Gonzalez,272.3,60.9%,74.2%,51.4%,82.9%,7.0,4.1
83,Jonathan Stark,272.2,59.4%,76.2%,49.2%,81.9%,9.1,3.6
84,Alexander Waske,272.1,60.6%,73.4%,50.8%,81.3%,10.5,4.5
85,Kenny De Schepper,272.0,66.8%,71.6%,48.5%,81.2%,8.2,4.3
86,Mardy Fish,271.9,53.8%,77.1%,51.7%,82.3%,9.9,2.9
87,Ugo Humbert,271.9,61.6%,73.2%,51.4%,81.5%,7.3,3.1
88,Jack Draper,271.8,59.3%,74.5%,50.6%,82.6%,7.7,2.9
89,Andrey Rublev,271.7,60.2%,74.8%,50.5%,82.0%,6.8,2.6
90,Denis Istomin,271.6,65.4%,71.0%,51.0%,79.5%,6.5,1.8
91,Borna Coric,271.5,62.0%,72.3%,52.7%,80.8%,5.9,2.2
92,Richard Gasquet,271.4,61.3%,72.8%,52.9%,81.5%,5.4,2.5
93,Philipp Kohlschreiber,271.4,60.4%,72.1%,53.9%,81.5%,5.6,2.1
94,Thiago Monteiro,271.4,64.9%,71.4%,51.9%,79.9%,5.5,2.2
95,Roberto Bautista Agut,271.3,66.0%,69.9%,53.8%,80.3%,3.2,1.9
96,Victor Hanescu,271.3,69.1%,69.2%,50.7%,79.1%,4.8,1.6
97,Marat Safin,271.3,55.3%,75.2%,52.2%,82.2%,8.8,2.4
98,Frances Tiafoe,271.3,60.9%,72.4%,52.1%,81.1%,7.3,2.5
99,Javier Frana,271.2,61.6%,73.0%,51.3%,80.8%,6.3,1.8
100,Gustavo Kuerten,271.0,54.7%,76.2%,51.6%,82.5%,8.5,2.5
101,Alex Radulescu,271.0,56.4%,77.0%,49.2%,81.6%,10.4,3.6
102,Leonardo Mayer,271.0,60.9%,73.3%,52.4%,81.7%,6.3,3.6
103,Markus Zoecke,271.0,64.1%,72.2%,49.7%,80.3%,7.5,2.8
104,Ivan Lendl,270.8,56.0%,76.0%,52.2%,82.4%,6.9,2.7
105,Maximilian Marterer,270.7,63.1%,70.2%,53.1%,79.7%,6.8,2.2
106,Christopher O'Connell,270.4,62.7%,72.1%,50.2%,80.2%,7.2,2.0
107,Jannik Sinner,270.4,59.4%,72.6%,53.6%,82.0%,5.0,2.2
108,Fernando Verdasco,270.4,67.0%,70.7%,50.9%,80.2%,5.5,3.9
109,Ernests Gulbis,270.3,60.1%,75.2%,48.5%,81.3%,9.4,4.2
110,Gael Monfils,270.3,62.4%,72.9%,49.8%,80.6%,8.2,3.6
111,Andy Murray,270.2,58.2%,74.3%,51.8%,81.6%,6.8,2.5
112,Holger Rune,270.2,62.7%,71.8%,53.0%,81.9%,4.4,3.6
113,Simone Bolelli,270.0,66.4%,69.0%,52.9%,79.1%,4.1,1.5
114,Nicolas Mahut,269.8,60.8%,73.3%,50.4%,81.0%,7.8,3.5
115,Amer Delic,269.7,59.7%,72.3%,50.4%,80.1%,10.3,3.1
116,Jan-Michael Gambill,269.7,55.8%,76.3%,49.1%,81.1%,10.8,3.4
117,Radek Stepanek,269.6,62.0%,72.8%,50.8%,80.8%,6.3,3.1
