,ID,Matches,Name,Percentage,Points Won,Rank,Total Points
0,k336,694,Ivo Karlovic,70.96%,"1,879",1,"2,648"
1,i186,761,John Isner,70.62%,"2,142",2,"3,033"
2,r975,526,Milos Raonic,69.61%,"1,404",3,"2,017"
3,s402,792,Pete Sampras,68.06%,"2,553",4,"3,751"
4,bk40,227,Matteo Berrettini,67.98%,794,5,"1,168"
5,r485,776,Andy Roddick,67.59%,"2,025",6,"2,996"
6,a202,274,Wayne Arthurs,67.42%,921,7,"1,366"
7,f324,"1,462",Roger Federer,67.27%,"4,345",8,"6,459"
8,ke17,299,Nick Kyrgios,67.26%,943,9,"1,402"
9,t786,672,Jo-Wilfried Tsonga,67.00%,"2,329",10,"3,476"
10,ma30,403,Gilles Muller,66.79%,"1,595",11,"2,388"
11,n409,"1,254",Rafael Nadal,66.35%,"4,278",12,"6,448"
12,r237,677,Greg Rusedski,66.16%,"2,330",13,"3,522"
13,i034,731,Goran Ivanisevic,66.10%,"2,578",14,"3,900"
14,s351,417,Michael Stich,66.03%,"1,580",15,"2,393"
15,a678,596,Kevin Anderson,65.99%,"2,043",16,"3,096"
16,k214,606,Richard Krajicek,65.70%,"1,912",17,"2,910"
17,j386,392,Steve Johnson,65.70%,"1,559",18,"2,373"
18,b028,418,Boris Becker,65.60%,"1,510",19,"2,302"
19,l397,976,Feliciano Lopez,65.42%,"3,928",20,"6,004"
20,d643,"1,220",Novak Djokovic,65.41%,"4,085",21,"6,245"
21,te51,401,Stefanos Tsitsipas,65.06%,"1,333",22,"2,049"
22,l360,680,Ivan Ljubicic,65.03%,"2,401",23,"3,692"
23,su55,306,Denis Shapovalov,64.98%,"1,234",24,"1,899"
24,a092,851,Andre Agassi,64.74%,"3,084",25,"4,764"
25,s381,506,Jan Siemerink,64.62%,"2,190",26,"3,389"
26,r255,513,Patrick Rafter,64.31%,"1,809",27,"2,813"
27,p338,482,Mark Philippoussis,64.29%,"1,712",28,"2,663"
28,s0ag,220,Jannik Sinner,64.24%,884,29,"1,376"
29,c977,856,Marin Cilic,64.23%,"3,205",30,"4,990"
30,w367,848,Stan Wawrinka,64.21%,"3,516",31,"5,476"
31,m442,593,Todd Martin,64.20%,"2,356",32,"3,670"
32,hb71,246,Hubert Hurkacz,64.16%,879,33,"1,370"
33,c328,503,Kenneth Carlsen,64.03%,"2,065",34,"3,225"
34,m595,435,Max Mirnyi,64.00%,"1,586",35,"2,478"
35,f035,278,Guy Forget,63.97%,"1,037",36,"1,621"
36,g858,454,Ernests Gulbis,63.80%,"1,868",37,"2,928"
37,ag37,276,Felix Auger-Aliassime,63.80%,"1,010",38,"1,583"
38,d683,593,Juan Martin del Potro,63.75%,"1,917",39,"3,007"
39,c243,546,Jim Courier,63.74%,"1,976",40,"3,100"
40,e004,439,Stefan Edberg,63.72%,"1,718",41,"2,696"
41,ta46,347,Bernard Tomic,63.69%,"1,526",42,"2,396"
42,f041,217,Javier Frana,63.69%,940,43,"1,476"
43,g415,538,Fernando Gonzalez,63.68%,"2,081",44,"3,268"
44,s380,202,Bryan Shelton,63.68%,889,45,"1,396"
45,g352,389,Jan-Michael Gambill,63.64%,"1,570",46,"2,467"
46,ke29,389,Karen Khachanov,63.60%,"1,581",47,"2,486"
47,ba47,933,Tomas Berdych,63.59%,"3,135",48,"4,930"
48,sa49,463,Robin Soderling,63.47%,"1,595",49,"2,513"
49,mm58,422,Daniil Medvedev,63.43%,"1,445",50,"2,278"
50,pf39,257,Lucas Pouille,63.29%,"1,188",51,"1,877"
51,e121,451,Younes El Aynaoui,63.21%,"1,854",52,"2,933"
52,pd07,280,Vasek Pospisil,63.13%,"1,065",53,"1,687"
53,v708,283,Jiri Vesely,63.10%,"1,163",54,"1,843"
54,m099,595,Thomas Muster,63.01%,"2,468",55,"3,917"
55,su87,215,Lorenzo Sonego,62.98%,842,56,"1,337"
56,w123,313,David Wheaton,62.89%,"1,405",57,"2,234"
57,k435,828,Philipp Kohlschreiber,62.85%,"3,142",58,"4,999"
58,m605,856,Carlos Moya,62.82%,"3,655",59,"5,818"
59,h336,720,Tim Henman,62.77%,"2,930",60,"4,668"
60,rh16,277,Casper Ruud,62.75%,950,61,"1,514"
61,r685,259,Lukas Rosol,62.75%,"1,174",62,"1,871"
62,d875,646,Grigor Dimitrov,62.73%,"2,430",63,"3,874"
63,t315,434,Dmitry Tursunov,62.73%,"1,959",64,"3,123"
