,Games Won,ID,Matches,Name,Percentage,Rank,Total Games
0,"1,355",c524,323,Guillermo Coria,35.19%,1,"3,850"
1,"4,989",n409,"1,254",Rafael Nadal,33.45%,2,"14,913"
2,"1,738",b428,469,Alberto Berasategui,32.34%,3,"5,374"
3,"4,779",d643,"1,220",Novak Djokovic,32.06%,4,"14,905"
4,"1,697",sm37,436,Diego Schwartzman,31.70%,5,"5,353"
5,888,a034,237,Jordi Arrese,31.70%,6,"2,801"
6,"3,331",a092,851,Andre Agassi,31.68%,7,"10,516"
7,"2,251",m099,595,Thomas Muster,31.60%,8,"7,124"
8,"2,947",c274,773,Michael Chang,31.58%,9,"9,333"
9,"4,014",f401,"1,077",David Ferrer,31.44%,10,"12,766"
10,"2,062",b350,567,Sergi Bruguera,31.38%,11,"6,572"
11,"1,522",c179,409,Carlos Costa,31.16%,12,"4,884"
12,838,s315,232,Gilbert Schaller,31.11%,13,"2,694"
13,"1,152",c031,309,Andrei Chesnokov,30.98%,14,"3,719"
14,"1,344",d198,368,Slava Dosedel,30.69%,15,"4,379"
15,"3,547",mc10,932,Andy Murray,30.58%,16,"11,598"
16,"1,277",v254,384,Filippo Volandri,30.48%,17,"4,190"
17,"1,851",g182,506,Magnus Gustafsson,30.24%,18,"6,121"
18,"1,686",e004,439,Stefan Edberg,30.22%,19,"5,579"
19,"2,068",n301,544,David Nalbandian,30.15%,20,"6,859"
20,"1,101",c216,308,Tomas Carbonell,30.11%,21,"3,656"
21,"3,161",h432,819,Lleyton Hewitt,29.94%,22,"10,559"
22,"2,768",d402,787,Nikolay Davydenko,29.94%,23,"9,246"
23,"1,631",g374,449,Gaston Gaudio,29.84%,24,"5,465"
24,"2,034",ma21,590,Juan Monaco,29.50%,25,"6,896"
25,"1,815",m535,526,Felix Mantilla,29.32%,26,"6,190"
26,"2,345",c252,677,Francisco Clavet,29.29%,27,"8,005"
27,"1,687",k237,487,Karol Kucera,29.21%,28,"5,776"
28,"1,811",r286,540,Marcelo Rios,28.67%,29,"6,316"
29,"2,408",c344,698,Alex Corretja,28.56%,30,"8,430"
30,"1,810",k148,512,Petr Korda,28.51%,31,"6,348"
31,"2,007",c514,585,Juan Ignacio Chela,28.43%,32,"7,059"
32,821,k023,233,Aaron Krickstein,28.41%,33,"2,890"
33,857,l018,246,Ivan Lendl,28.28%,34,"3,030"
34,655,s677,204,David Sanchez,28.03%,35,"2,337"
35,800,y017,227,Jaime Yzaga,27.94%,36,"2,863"
36,"1,755",m475,498,Andrei Medvedev,27.86%,37,"6,300"
37,726,r219,221,Christian Ruud,27.85%,38,"2,607"
38,"1,915",n254,567,Jiri Novak,27.77%,39,"6,895"
39,"1,491",c433,437,Guillermo Canas,27.76%,40,"5,372"
40,"2,827",k267,837,Yevgeny Kafelnikov,27.61%,41,"10,238"
41,783,o098,232,Marcos Ondruska,27.29%,42,"2,869"
42,736,s0ag,220,Jannik Sinner,27.29%,43,"2,697"
43,970,s568,306,Franco Squillari,27.27%,44,"3,557"
44,"1,396",mm58,422,Daniil Medvedev,27.22%,45,"5,129"
45,"1,755",gb88,524,David Goffin,27.21%,46,"6,450"
46,"2,073",n552,619,Kei Nishikori,27.20%,47,"7,621"
47,"1,332",g254,420,Andrea Gaudenzi,27.11%,48,"4,913"
48,733,g247,226,Hernan Gumy,26.91%,49,"2,724"
49,"2,458",f510,748,Fabio Fognini,26.83%,50,"9,163"
50,"2,692",s424,841,Fabrice Santoro,26.79%,51,"10,048"
51,803,m048,246,Patrick McEnroe,26.78%,52,"2,998"
52,"2,059",c378,638,Albert Costa,26.74%,53,"7,699"
53,"1,883",g379,558,Sebastien Grosjean,26.71%,54,"7,051"
54,"1,286",f192,403,Renzo Furlan,26.71%,55,"4,815"
55,"2,375",f316,709,Juan Carlos Ferrero,26.66%,56,"8,909"
56,"2,864",sd32,878,Gilles Simon,26.65%,57,"10,747"
57,"4,911",f324,"1,462",Roger Federer,26.58%,58,"18,475"
58,"1,201",m443,379,Fernando Meligeni,26.58%,59,"4,519"
59,"2,389",b446,733,Jonas Bjorkman,26.52%,60,"9,008"
60,893,f165,297,Marcelo Filippini,26.52%,61,"3,367"
61,716,g016,218,Brad Gilbert,26.51%,62,"2,701"
62,"1,410",u032,455,Bohdan Ulihrach,26.49%,63,"5,323"
63,"1,962",bd06,610,Roberto Bautista Agut,26.36%,64,"7,442"
64,869,c260,274,Andrei Cherkasov,26.33%,65,"3,301"
65,"2,248",e113,705,Thomas Enqvist,26.25%,66,"8,564"
66,"1,831",c243,546,Jim Courier,26.25%,67,"6,976"
67,"1,304",w136,407,Todd Woodbridge,26.06%,68,"5,003"
68,742,d923,234,Damir Dzumhur,25.99%,69,"2,855"
69,"1,389",b397,451,Byron Black,25.98%,70,"5,347"
70,"1,214",r016,389,Richey Reneberg,25.98%,71,"4,673"
71,"1,986",h377,628,Dominik Hrbaty,25.93%,72,"7,658"
72,"1,381",s331,440,Jason Stoltenberg,25.86%,73,"5,341"
73,"1,154",v195,367,Fernando Vicente,25.81%,74,"4,472"
74,"2,356",h336,720,Tim Henman,25.76%,75,"9,145"
75,"1,170",b053,382,Arnaud Boetsch,25.76%,76,"4,542"
76,"1,959",s636,646,Rainer Schuettler,25.71%,77,"7,619"
77,"1,175",w124,375,MaliVai Washington,25.68%,78,"4,576"
78,"1,843",d683,593,Juan Martin del Potro,25.61%,79,"7,197"
79,"1,404",m590,486,Alberto Martin,25.61%,80,"5,482"
80,"1,259",v037,384,Alexander Volkov,25.55%,81,"4,927"
