,ID,Matches,Name,Percentage,Points Won,Rank,Total Points
0,c524,323,Guillermo Coria,36.02%,"5,374",1,"14,921"
1,n409,"1,254",Rafael Nadal,34.24%,"20,567",2,"60,062"
2,g182,506,Magnus Gustafsson,34.24%,"8,363",3,"24,423"
3,a034,237,Jordi Arrese,33.91%,"3,825",4,"11,279"
4,d643,"1,220",Novak Djokovic,33.85%,"20,465",5,"60,450"
5,d198,368,Slava Dosedel,33.66%,"5,953",6,"17,685"
6,c216,308,Tomas Carbonell,33.61%,"4,843",7,"14,410"
7,b428,469,Alberto Berasategui,33.51%,"7,435",8,"22,185"
8,sm37,436,Diego Schwartzman,33.51%,"7,151",9,"21,339"
9,f401,"1,077",David Ferrer,33.50%,"16,895",10,"50,440"
10,c514,585,Juan Ignacio Chela,33.37%,"9,253",11,"27,729"
11,v254,384,Filippo Volandri,33.26%,"5,288",12,"15,898"
12,k237,487,Karol Kucera,33.25%,"7,495",13,"22,540"
13,d402,787,Nikolay Davydenko,33.17%,"12,099",14,"36,478"
14,e004,439,Stefan Edberg,33.04%,"7,449",15,"22,544"
15,c433,437,Guillermo Canas,33.03%,"6,914",16,"20,930"
16,s315,232,Gilbert Schaller,32.93%,"3,483",17,"10,576"
17,c031,309,Andrei Chesnokov,32.89%,"4,614",18,"14,030"
18,mc10,932,Andy Murray,32.81%,"15,408",19,"46,958"
19,ma21,590,Juan Monaco,32.74%,"8,796",20,"26,863"
20,g016,218,Brad Gilbert,32.65%,"3,474",21,"10,641"
21,g374,449,Gaston Gaudio,32.60%,"6,722",22,"20,621"
22,s677,204,David Sanchez,32.55%,"2,952",23,"9,070"
23,f165,297,Marcelo Filippini,32.50%,"4,332",24,"13,328"
24,f324,"1,462",Roger Federer,32.49%,"24,113",25,"74,206"
25,b350,567,Sergi Bruguera,32.46%,"8,129",26,"25,041"
26,m475,498,Andrei Medvedev,32.26%,"7,963",27,"24,680"
27,c274,773,Michael Chang,32.24%,"11,549",28,"35,821"
28,c344,698,Alex Corretja,32.24%,"10,504",29,"32,581"
29,n301,544,David Nalbandian,32.23%,"8,596",30,"26,672"
30,s0ag,220,Jannik Sinner,32.20%,"3,522",31,"10,939"
31,c179,409,Carlos Costa,32.18%,"6,105",32,"18,972"
32,o098,232,Marcos Ondruska,32.16%,"3,569",33,"11,096"
33,h432,819,Lleyton Hewitt,32.10%,"12,941",34,"40,312"
34,s568,306,Franco Squillari,32.07%,"4,514",35,"14,074"
35,m099,595,Thomas Muster,32.03%,"8,874",36,"27,709"
36,k148,512,Petr Korda,31.93%,"8,047",37,"25,205"
37,mc65,816,Gael Monfils,31.86%,"12,993",38,"40,776"
38,s014,281,Emilio Sanchez,31.82%,"4,206",39,"13,218"
39,y017,227,Jaime Yzaga,31.80%,"3,509",40,"11,034"
40,h336,720,Tim Henman,31.74%,"11,218",41,"35,343"
41,z073,403,Mariano Zabaleta,31.74%,"6,143",42,"19,354"
42,v195,367,Fernando Vicente,31.70%,"5,562",43,"17,545"
43,s424,841,Fabrice Santoro,31.66%,"12,270",44,"38,759"
44,s015,487,Javier Sanchez,31.66%,"7,363",45,"23,254"
45,f192,403,Renzo Furlan,31.65%,"5,969",46,"18,859"
46,c252,677,Francisco Clavet,31.64%,"9,788",47,"30,936"
47,d923,234,Damir Dzumhur,31.56%,"3,480",48,"11,028"
48,f510,748,Fabio Fognini,31.51%,"11,168",49,"35,442"
49,a092,851,Andre Agassi,31.50%,"12,952",50,"41,114"
50,m605,856,Carlos Moya,31.48%,"13,320",51,"42,318"
51,m590,486,Alberto Martin,31.41%,"6,610",52,"21,047"
52,s331,440,Jason Stoltenberg,31.36%,"6,546",53,"20,873"
53,n254,567,Jiri Novak,31.32%,"8,157",54,"26,046"
54,m443,379,Fernando Meligeni,31.32%,"5,441",55,"17,373"
55,l018,246,Ivan Lendl,31.32%,"3,753",56,"11,983"
56,f724,241,Marton Fucsovics,31.28%,"3,895",57,"12,451"
57,g254,420,Andrea Gaudenzi,31.27%,"5,913",58,"18,912"
58,r286,540,Marcelo Rios,31.25%,"7,614",59,"24,361"
59,sd32,878,Gilles Simon,31.24%,"13,252",60,"42,426"
60,pd31,531,Benoit Paire,31.24%,"8,560",61,"27,401"
61,dh58,282,Alex de Minaur,31.22%,"4,327",62,"13,859"
62,gb88,524,David Goffin,31.18%,"7,932",63,"25,436"
63,a203,315,Karim Alami,31.18%,"4,654",64,"14,928"
64,c378,638,Albert Costa,31.14%,"9,063",65,"29,106"
65,g379,558,Sebastien Grosjean,31.13%,"8,445",66,"27,124"
66,r219,221,Christian Ruud,31.11%,"3,171",67,"10,193"
67,mm58,422,Daniil Medvedev,31.09%,"6,429",68,"20,676"
68,r419,873,Tommy Robredo,31.08%,"13,103",69,"42,162"
69,m535,526,Felix Mantilla,31.05%,"7,309",70,"23,537"
70,s636,646,Rainer Schuettler,31.03%,"8,991",71,"28,979"
71,b884,314,Carlos Berlocq,31.03%,"4,430",72,"14,275"
72,e140,282,Nicolas Escude,30.92%,"4,075",73,"13,180"
73,f316,709,Juan Carlos Ferrero,30.79%,"10,604",74,"34,442"
74,c478,381,Agustin Calleri,30.77%,"5,691",75,"18,493"
75,g247,226,Hernan Gumy,30.67%,"3,250",76,"10,596"
76,a596,401,Pablo Andujar,30.62%,"5,672",77,"18,522"
77,z355,506,Alexander Zverev,30.59%,"7,965",78,"26,040"
78,n552,619,Kei Nishikori,30.58%,"9,171",79,"29,994"
79,m655,449,Nicolas Massu,30.55%,"6,266",80,"20,511"
