,ID,Matches,Name,Percentage,Points Won,Rank,Total Points
0,b428,469,Alberto Berasategui,56.28%,"7,687",1,"13,658"
1,a092,851,Andre Agassi,55.85%,"16,704",2,"29,909"
2,m048,246,Patrick McEnroe,55.40%,"4,681",3,"8,449"
3,n409,"1,254",Rafael Nadal,55.30%,"20,936",4,"37,856"
4,m099,595,Thomas Muster,55.23%,"11,092",5,"20,083"
5,c274,773,Michael Chang,55.15%,"14,990",6,"27,181"
6,d643,"1,220",Novak Djokovic,55.14%,"21,448",7,"38,897"
7,c179,409,Carlos Costa,55.05%,"7,369",8,"13,387"
8,b397,451,Byron Black,55.03%,"8,293",9,"15,069"
9,sm37,436,Diego Schwartzman,54.76%,"7,614",10,"13,905"
10,mc10,932,Andy Murray,54.75%,"16,347",11,"29,857"
11,n301,544,David Nalbandian,54.57%,"10,016",12,"18,353"
12,f401,"1,077",David Ferrer,54.53%,"18,640",13,"34,183"
13,c524,323,Guillermo Coria,54.37%,"5,801",14,"10,670"
14,a034,237,Jordi Arrese,54.28%,"3,864",15,"7,119"
15,c260,274,Andrei Cherkasov,54.18%,"5,149",16,"9,503"
16,d198,368,Slava Dosedel,53.92%,"6,331",17,"11,741"
17,s315,232,Gilbert Schaller,53.91%,"4,150",18,"7,698"
18,b350,567,Sergi Bruguera,53.89%,"9,981",19,"18,520"
19,mm58,422,Daniil Medvedev,53.75%,"6,650",20,"12,373"
20,h432,819,Lleyton Hewitt,53.68%,"15,571",21,"29,007"
21,b446,733,Jonas Bjorkman,53.59%,"13,325",22,"24,864"
22,m535,526,Felix Mantilla,53.59%,"8,983",23,"16,762"
23,k023,233,Aaron Krickstein,53.55%,"4,372",24,"8,165"
24,c252,677,Francisco Clavet,53.51%,"12,078",25,"22,570"
25,e004,439,Stefan Edberg,53.39%,"8,122",26,"15,213"
26,r286,540,Marcelo Rios,53.35%,"9,430",27,"17,675"
27,d402,787,Nikolay Davydenko,53.31%,"12,945",28,"24,283"
28,e113,705,Thomas Enqvist,53.30%,"12,776",29,"23,969"
29,bd06,610,Roberto Bautista Agut,53.27%,"10,384",30,"19,494"
30,n732,216,Yoshihito Nishioka,53.13%,"3,552",31,"6,686"
31,n552,619,Kei Nishikori,53.07%,"10,537",32,"19,854"
32,g374,449,Gaston Gaudio,53.04%,"8,106",33,"15,283"
33,k148,512,Petr Korda,52.93%,"9,357",34,"17,677"
34,re44,394,Andrey Rublev,52.93%,"6,565",35,"12,403"
35,r219,221,Christian Ruud,52.90%,"3,823",36,"7,227"
36,w136,407,Todd Woodbridge,52.86%,"7,423",37,"14,044"
37,r016,389,Richey Reneberg,52.83%,"6,750",38,"12,778"
38,s0ag,220,Jannik Sinner,52.81%,"3,590",39,"6,798"
39,l018,246,Ivan Lendl,52.76%,"4,417",40,"8,372"
40,k267,837,Yevgeny Kafelnikov,52.73%,"15,433",41,"29,268"
41,c031,309,Andrei Chesnokov,52.73%,"5,489",42,"10,409"
42,c243,546,Jim Courier,52.70%,"10,358",43,"19,656"
43,c216,308,Tomas Carbonell,52.70%,"5,142",44,"9,758"
44,r397,481,Olivier Rochus,52.68%,"8,083",45,"15,345"
45,n254,567,Jiri Novak,52.51%,"10,043",46,"19,127"
46,u032,455,Bohdan Ulihrach,52.51%,"7,757",47,"14,773"
47,f316,709,Juan Carlos Ferrero,52.48%,"12,693",48,"24,187"
48,sd32,878,Gilles Simon,52.47%,"14,690",49,"27,999"
49,ma21,590,Juan Monaco,52.47%,"9,676",50,"18,442"
50,g247,226,Hernan Gumy,52.45%,"3,773",51,"7,193"
51,gb88,524,David Goffin,52.43%,"8,744",52,"16,678"
52,h377,628,Dominik Hrbaty,52.30%,"11,155",53,"21,329"
53,c344,698,Alex Corretja,52.27%,"12,310",54,"23,549"
54,s544,657,Vincent Spadea,52.26%,"11,161",55,"21,356"
55,m475,498,Andrei Medvedev,52.21%,"9,157",56,"17,538"
56,w123,313,David Wheaton,52.18%,"5,671",57,"10,869"
57,v254,384,Filippo Volandri,52.10%,"5,756",58,"11,047"
