,Games Won,ID,Matches,Name,Percentage,Rank,Total Games
0,"8,845",k336,694,Ivo Karlovic,92.00%,1,"9,614"
1,"10,007",i186,761,John Isner,91.82%,2,"10,898"
2,"6,310",r975,526,Milos Raonic,91.15%,3,"6,923"
3,"8,836",r485,776,Andy Roddick,90.10%,4,"9,807"
4,"16,758",f324,"1,462",Roger Federer,88.80%,5,"18,872"
5,"9,443",s402,792,Pete Sampras,88.74%,6,"10,641"
6,"3,588",ke17,299,Nick Kyrgios,88.66%,7,"4,047"
7,"3,339",a202,274,Wayne Arthurs,88.24%,8,"3,784"
8,"2,640",bk40,227,Matteo Berrettini,87.59%,9,"3,014"
9,"6,808",k214,606,Richard Krajicek,87.21%,10,"7,806"
10,"7,597",t786,672,Jo-Wilfried Tsonga,86.88%,11,"8,744"
11,"6,843",a678,596,Kevin Anderson,86.66%,12,"7,896"
12,"7,630",r237,677,Greg Rusedski,86.49%,13,"8,822"
13,"4,513",te51,401,Stefanos Tsitsipas,86.31%,14,"5,229"
14,"13,177",d643,"1,220",Novak Djokovic,85.92%,15,"15,337"
15,"4,771",b028,418,Boris Becker,85.76%,16,"5,563"
16,"7,922",i034,731,Goran Ivanisevic,85.70%,17,"9,244"
17,"12,895",n409,"1,254",Rafael Nadal,85.60%,18,"15,065"
18,"5,510",p338,482,Mark Philippoussis,85.28%,19,"6,461"
19,"7,473",l360,680,Ivan Ljubicic,85.27%,20,"8,764"
20,"4,706",s351,417,Michael Stich,85.27%,21,"5,519"
21,"2,812",hb71,246,Hubert Hurkacz,85.13%,22,"3,303"
22,"4,466",ma30,403,Gilles Muller,84.92%,23,"5,259"
23,"6,097",d683,593,Juan Martin del Potro,84.83%,24,"7,187"
24,"7,679",q927,694,Sam Querrey,84.81%,25,"9,054"
25,"5,551",r255,513,Patrick Rafter,84.68%,26,"6,555"
26,"9,697",ba47,933,Tomas Berdych,84.38%,27,"11,492"
27,"5,984",c243,546,Jim Courier,84.19%,28,"7,108"
28,"3,083",f035,278,Guy Forget,84.07%,29,"3,667"
29,"8,832",a092,851,Andre Agassi,84.02%,30,"10,512"
30,"4,785",sa49,463,Robin Soderling,83.90%,31,"5,703"
31,"4,640",m595,435,Max Mirnyi,83.88%,32,"5,532"
32,"9,246",c977,856,Marin Cilic,83.82%,33,"11,031"
33,"3,388",a385,318,Mario Ancic,83.82%,34,"4,042"
34,"4,201",j386,392,Steve Johnson,83.77%,35,"5,015"
35,"4,288",mm58,422,Daniil Medvedev,83.73%,36,"5,121"
36,"10,628",l397,976,Feliciano Lopez,83.66%,37,"12,704"
37,"6,661",m442,593,Todd Martin,83.52%,38,"7,975"
38,"3,362",su55,306,Denis Shapovalov,83.49%,39,"4,027"
39,"2,842",rh16,277,Casper Ruud,83.44%,40,"3,406"
40,"2,875",ag37,276,Felix Auger-Aliassime,83.38%,41,"3,448"
41,"5,747",g415,538,Fernando Gonzalez,82.88%,42,"6,934"
42,"2,987",pd07,280,Vasek Pospisil,82.77%,43,"3,609"
43,"3,865",fb98,358,Taylor Fritz,82.76%,44,"4,670"
44,"9,397",w367,848,Stan Wawrinka,82.74%,45,"11,357"
45,"6,788",a479,662,Nicolas Almagro,82.49%,46,"8,229"
46,"5,337",k293,511,Gustavo Kuerten,82.48%,47,"6,471"
47,"4,594",e004,439,Stefan Edberg,82.45%,48,"5,572"
48,"2,493",l018,246,Ivan Lendl,82.44%,49,"3,024"
49,"6,762",d875,646,Grigor Dimitrov,82.40%,50,"8,206"
50,"5,325",tb69,512,Dominic Thiem,82.38%,51,"6,464"
51,"5,123",f339,501,Mardy Fish,82.31%,52,"6,224"
52,"4,189",ke29,389,Karen Khachanov,82.23%,53,"5,094"
53,"5,349",z355,506,Alexander Zverev,82.22%,54,"6,506"
54,"7,047",s741,649,Marat Safin,82.18%,55,"8,575"
55,"2,252",su87,215,Lorenzo Sonego,81.98%,56,"2,747"
56,"6,434",r214,645,Marc Rosset,81.97%,57,"7,849"
57,"3,978",re44,394,Andrey Rublev,81.95%,58,"4,854"
58,"2,798",s403,280,Jonathan Stark,81.93%,59,"3,415"
59,"3,412",sm25,325,Jack Sock,81.90%,60,"4,166"
60,"2,224",s0ag,220,Jannik Sinner,81.89%,61,"2,716"
61,"4,868",l206,466,Magnus Larsson,81.66%,62,"5,961"
62,"3,756",md56,361,Leonardo Mayer,81.65%,63,"4,600"
63,"8,846",h355,867,Tommy Haas,81.64%,64,"10,836"
64,"9,546",mc10,932,Andy Murray,81.61%,65,"11,697"
65,"9,465",g628,954,Richard Gasquet,81.50%,66,"11,614"
66,"8,164",k435,828,Philipp Kohlschreiber,81.47%,67,"10,021"
67,"5,256",s381,506,Jan Siemerink,81.43%,68,"6,455"
68,"5,081",c328,503,Kenneth Carlsen,81.41%,69,"6,241"
69,"3,948",l428,398,Michael Llodra,81.28%,70,"4,857"
70,"4,594",g858,454,Ernests Gulbis,81.25%,71,"5,654"
71,"7,519",h336,720,Tim Henman,81.23%,72,"9,257"
72,"3,856",g352,389,Jan-Michael Gambill,81.13%,73,"4,753"
73,"2,915",v708,283,Jiri Vesely,81.08%,74,"3,595"
74,"4,172",m873,402,Nicolas Mahut,81.06%,75,"5,147"
75,"3,347",td51,310,Frances Tiafoe,81.02%,76,"4,131"
76,"2,162",s380,202,Bryan Shelton,81.00%,77,"2,669"
77,"4,573",e121,451,Younes El Aynaoui,80.91%,78,"5,652"
78,"2,333",h996,219,Pierre-Hugues Herbert,80.89%,79,"2,884"
79,"6,544",s694,658,Radek Stepanek,80.86%,80,"8,093"
80,"3,474",cg80,348,Borna Coric,80.85%,81,"4,297"
81,"3,854",sl28,379,Jan-Lennard Struff,80.78%,82,"4,771"
82,"2,243",f041,217,Javier Frana,80.71%,83,"2,779"
83,"8,212",mc65,816,Gael Monfils,80.63%,84,"10,185"
84,"6,189",j129,618,Thomas Johansson,80.59%,85,"7,680"
85,"3,610",ta46,347,Bernard Tomic,80.58%,86,"4,480"
86,"2,347",e831,232,Kyle Edmund,80.51%,87,"2,915"
87,"6,014",ca12,594,Jeremy Chardy,80.47%,88,"7,474"
88,"2,212",m030,205,Wally Masur,80.47%,89,"2,749"
89,"6,081",bd06,610,Roberto Bautista Agut,80.25%,90,"7,578"
90,"3,683",w124,375,MaliVai Washington,80.22%,91,"4,591"
91,"8,416",h432,819,Lleyton Hewitt,80.21%,92,"10,492"
92,"10,014",v306,992,Fernando Verdasco,80.16%,93,"12,492"
93,"4,938",t742,499,Janko Tipsarevic,80.14%,94,"6,162"
94,"2,564",e106,249,Jacco Eltingh,80.10%,95,"3,201"
95,"5,971",b837,597,Marcos Baghdatis,79.92%,96,"7,471"
96,"8,526",m605,856,Carlos Moya,79.76%,97,"10,689"
97,"2,712",pf39,257,Lucas Pouille,79.74%,98,"3,401"
98,"7,921",f196,774,Wayne Ferreira,79.72%,99,"9,936"
99,"7,063",f316,709,Juan Carlos Ferrero,79.71%,100,"8,861"
100,"6,036",n552,619,Kei Nishikori,79.71%,101,"7,572"
101,"3,302",g252,336,Marc-Kevin Goellner,79.70%,102,"4,143"
102,"6,960",e113,705,Thomas Enqvist,79.68%,103,"8,735"
103,"5,881",b676,591,James Blake,79.68%,104,"7,381"
104,"2,752",d362,283,Taylor Dent,79.58%,105,"3,458"
105,"5,626",m099,595,Thomas Muster,79.52%,106,"7,075"
106,"3,819",s675,397,Paradorn Srichaphan,79.51%,107,"4,803"
107,"2,141",bk92,216,Alexander Bublik,79.50%,108,"2,693"
108,"5,003",r286,540,Marcelo Rios,79.48%,109,"6,295"
109,"4,365",i165,441,Denis Istomin,79.48%,110,"5,492"
110,"2,851",n771,293,Cameron Norrie,79.48%,111,"3,587"
111,"2,996",h025,301,Jakob Hlasek,79.47%,112,"3,770"
112,"4,392",a511,442,Igor Andreev,79.44%,113,"5,529"
113,"3,973",d801,412,Alexandr Dolgopolov,79.44%,114,"5,001"
114,"3,200",w123,313,David Wheaton,79.42%,115,"4,029"
115,"2,166",z184,221,Horacio Zeballos,79.37%,116,"2,729"
116,"3,496",b896,368,Benjamin Becker,79.26%,117,"4,411"
117,"2,725",dh58,282,Alex de Minaur,79.26%,118,"3,438"
118,"4,442",t315,434,Dmitry Tursunov,79.24%,119,"5,606"
119,"2,648",ba98,272,Simone Bolelli,79.21%,120,"3,343"
120,"3,014",n025,308,Karel Novacek,79.17%,121,"3,807"
121,"6,497",p226,636,Cedric Pioline,79.14%,122,"8,209"
122,"4,018",h528,412,Victor Hanescu,79.14%,123,"5,077"
123,"2,058",d272,211,Antony Dupuis,79.09%,124,"2,602"
124,"2,320",h390,250,Luis Horna,79.05%,125,"2,935"
125,"4,542",cd85,464,Pablo Carreno Busta,78.98%,126,"5,751"
126,"8,238",k267,837,Yevgeny Kafelnikov,78.96%,127,"10,433"
127,"7,498",c274,773,Michael Chang,78.93%,128,"9,500"
128,"4,112",c882,428,Pablo Cuevas,78.85%,129,"5,215"
129,"3,641",c478,381,Agustin Calleri,78.78%,130,"4,622"
130,"3,562",d214,358,Martin Damm,78.77%,131,"4,522"
131,"2,683",h940,273,Ryan Harrison,78.77%,132,"3,406"
132,"5,568",g379,558,Sebastien Grosjean,78.69%,133,"7,076"
133,"2,009",s693,204,Raemon Sluiter,78.69%,134,"2,553"
134,"2,539",r685,259,Lukas Rosol,78.46%,135,"3,236"
135,"3,345",sc77,341,Sergiy Stakhovsky,78.39%,136,"4,267"
136,"2,555",g319,280,Jerome Golmard,78.37%,137,"3,260"
137,"8,344",r419,873,Tommy Robredo,78.35%,138,"10,649"
138,"1,943",ki95,207,Miomir Kecmanovic,78.28%,139,"2,482"
139,"5,179",m680,546,Xavier Malisse,78.19%,140,"6,624"
140,"2,366",d270,227,Scott Draper,78.19%,141,"3,026"
141,"5,442",m850,569,Paul-Henri Mathieu,78.18%,142,"6,961"
142,"4,442",f164,439,Richard Fromberg,78.18%,143,"5,682"
143,"3,615",v141,378,Daniel Vacek,78.15%,144,"4,626"
144,"3,515",r186,373,Guillaume Raoux,78.13%,145,"4,499"
145,"5,720",k316,612,Nicolas Kiefer,78.01%,146,"7,332"
146,"2,057",w212,208,Chris Woodruff,78.01%,147,"2,637"
147,"1,916",g436,205,Marc Gicquel,77.95%,148,"2,458"
148,"2,246",o009,230,Andrei Olhovskiy,77.88%,149,"2,884"
149,"2,715",e140,282,Nicolas Escude,77.86%,150,"3,487"
150,"2,150",tc61,212,Jordan Thompson,77.84%,151,"2,762"
151,"2,863",bh09,290,Aljaz Bedene,77.78%,152,"3,681"
152,"3,775",g569,390,Robby Ginepri,77.72%,153,"4,857"
153,"4,487",h756,459,Robin Haase,77.71%,154,"5,774"
154,"2,365",d646,249,Ivan Dodig,77.67%,155,"3,045"
155,"5,996",c378,638,Albert Costa,77.60%,156,"7,727"
156,"6,061",m762,631,Jurgen Melzer,77.59%,157,"7,812"
157,"2,194",b678,231,Michael Berrer,77.58%,158,"2,828"
158,"2,011",m012,212,Amos Mansdorf,77.58%,159,"2,592"
159,"4,971",k148,512,Petr Korda,77.57%,160,"6,408"
160,"10,005",f401,"1,077",David Ferrer,77.55%,161,"12,902"
161,"3,717",n250,402,Magnus Norman,77.55%,162,"4,793"
162,"3,242",a389,366,Jose Acasuso,77.54%,163,"4,181"
163,"2,497",e687,253,Daniel Evans,77.52%,164,"3,221"
164,"2,161",db63,225,Laslo Djere,77.46%,165,"2,790"
165,"7,114",d402,787,Nikolay Davydenko,77.44%,166,"9,187"
166,"8,395",y061,882,Mikhail Youzhny,77.37%,167,"10,851"
167,"2,748",s321,289,Brett Steven,77.36%,168,"3,552"
168,"5,291",n301,544,David Nalbandian,77.33%,169,"6,842"
169,"2,132",p372,238,Mariano Puerta,77.33%,170,"2,757"
170,"3,509",b053,382,Arnaud Boetsch,77.29%,171,"4,540"
171,"2,058",r613,209,Edouard Roger-Vasselin,77.28%,172,"2,663"
172,"4,146",s331,440,Jason Stoltenberg,77.15%,173,"5,374"
173,"2,594",pc11,260,Guido Pella,76.93%,174,"3,372"
174,"4,093",c433,437,Guillermo Canas,76.92%,175,"5,321"
175,"4,963",t840,539,Viktor Troicki,76.89%,176,"6,455"
176,"4,898",gb88,524,David Goffin,76.86%,177,"6,373"
177,"2,040",s443,212,Sandon Stolle,76.75%,178,"2,658"
178,"4,533",p280,492,Andrei Pavel,76.69%,179,"5,911"
179,"3,643",bd20,382,Thomaz Bellucci,76.68%,180,"4,751"
180,"2,999",g725,327,Santiago Giraldo,76.66%,181,"3,912"
181,"3,996",h223,428,Paul Haarhuis,76.65%,182,"5,213"
182,"3,601",r016,389,Richey Reneberg,76.62%,183,"4,700"
183,"3,594",l987,383,Dusan Lajovic,76.60%,184,"4,692"
184,"6,551",c344,698,Alex Corretja,76.57%,185,"8,556"
185,"4,048",w035,423,Mark Woodforde,76.54%,186,"5,289"
186,"5,229",n254,567,Jiri Novak,76.45%,187,"6,840"
187,"4,775",m475,498,Andrei Medvedev,76.42%,188,"6,248"
188,"5,305",b747,563,Julien Benneteau,76.40%,189,"6,944"
189,"4,933",s572,531,Sjeng Schalken,76.39%,190,"6,458"
190,"4,626",g182,506,Magnus Gustafsson,76.30%,191,"6,063"
191,"5,365",r772,577,Albert Ramos-Vinolas,76.28%,192,"7,033"
192,"5,148",me82,561,Adrian Mannarino,76.19%,193,"6,757"
193,"6,503",n289,693,Jarkko Nieminen,76.11%,194,"8,544"
194,"7,328",sa93,769,Andreas Seppi,76.06%,195,"9,634"
195,"5,818",h377,628,Dominik Hrbaty,75.96%,196,"7,659"
196,"8,231",sd32,878,Gilles Simon,75.95%,197,"10,837"
197,"5,844",c487,614,Arnaud Clement,75.95%,198,"7,695"
198,"5,060",b350,567,Sergi Bruguera,75.92%,199,"6,665"
199,"6,795",b446,733,Jonas Bjorkman,75.53%,200,"8,996"
